results	results	99.997	371005	9	1	1165552	1536556	2698312	2327309	0.0	6.690e+05
results	results	99.996	333964	14	0	285	334248	31902	365865	0.0	6.022e+05
results	results	99.993	332715	8	1	1937237	2269951	1843123	1510424	0.0	5.999e+05
results	results	99.994	304718	12	1	813174	1117885	1122341	1427058	0.0	5.494e+05
results	results	99.998	248246	4	0	2330860	2579105	959669	711424	0.0	4.477e+05
results	results	99.999	227892	2	0	2855148	3083039	3236303	3008412	0.0	4.110e+05
results	results	99.998	220713	5	0	3083037	3303749	1920816	2141528	0.0	3.980e+05
results	results	99.999	196677	1	1	453984	650659	485599	682275	0.0	3.547e+05
results	results	99.995	183245	2	1	1536552	1719796	3638392	3455155	0.0	3.304e+05
results	results	99.997	180290	5	0	3489818	3670107	3818680	3638391	0.0	3.251e+05
results	results	99.998	174695	3	1	2579188	2753881	3008415	2833721	0.0	3.150e+05
results	results	99.995	162732	8	0	650657	813388	959908	1122639	0.0	2.934e+05
results	results	99.977	153124	1	1	3835474	3988597	4136901	3983812	0.0	2.760e+05
results	results	99.998	125122	2	0	3988993	4114114	4262022	4136901	0.0	2.256e+05
results	results	99.998	122786	2	0	3304019	3426804	2327311	2204526	0.0	2.214e+05
results	results	99.987	119958	16	0	334022	453979	365546	485503	0.0	2.163e+05
results	results	100.000	116667	0	0	1820497	1937163	3338289	3454955	0.0	2.104e+05
results	results	99.999	106208	1	0	3670108	3776315	3983643	3877436	0.0	1.915e+05
results	results	99.995	100479	5	0	1719862	1820340	3237651	3338129	0.0	1.812e+05
results	results	99.999	89032	1	0	4114334	4203365	4351054	4262023	0.0	1.606e+05
results	results	100.000	77700	0	0	4203366	4281065	1920815	1843116	0.0	1.401e+05
results	results	99.999	77111	1	0	4281143	4358253	4431275	4508385	0.0	1.391e+05
results	results	99.994	63015	4	0	3426803	3489817	2204427	2141413	0.0	1.136e+05
results	results	100.000	58690	0	0	2753980	2812669	2833520	2774831	0.0	1.058e+05
results	results	99.998	58613	0	1	3776227	3834839	3877292	3818681	0.0	1.057e+05
results	results	99.996	56913	2	0	4358255	4415167	4622653	4565741	0.0	1.026e+05
results	results	100.000	52238	0	0	4468836	4521073	1499288	1447051	0.0	94205
