results	results	100.000	1718829	0	0	485599	2204427	485599	2204427	0.0	3.100e+06
results	results	100.000	1480769	0	0	3338289	4819057	3338289	4819057	0.0	2.670e+06
results	results	100.000	1133664	0	0	2204526	3338189	2204526	3338189	0.0	2.044e+06
results	results	100.000	453602	0	0	31902	485503	31902	485503	0.0	8.180e+05
results	results	100.000	31803	0	0	1	31803	1	31803	0.0	57353
results	results	100.000	4950	0	0	4418774	4423723	4394290	4399239	0.0	8927
results	results	100.000	4950	0	0	4394290	4399239	4418774	4423723	0.0	8927
results	results	76.292	5281	1197	25	236212	241463	28086	22832	0.0	3817
results	results	76.292	5281	1197	25	22832	28086	241463	236212	0.0	3817
results	results	75.470	3938	944	16	4026241	4030168	252552	248627	0.0	2695
results	results	75.470	3938	944	16	248627	252552	4030168	4026241	0.0	2695
results	results	71.327	4663	1213	53	3711360	3715960	3710163	3714763	0.0	2255
results	results	71.327	4663	1213	53	3710163	3714763	3711360	3715960	0.0	2255
results	results	71.949	4171	1101	23	4713331	4717443	1707520	1711679	0.0	2206
results	results	71.949	4171	1101	23	1707520	1711679	4713331	4717443	0.0	2206
results	results	68.798	5256	1543	47	3710760	3715968	3710163	3715368	0.0	1961
results	results	68.798	5256	1543	47	3710163	3715368	3710760	3715968	0.0	1961
results	results	91.673	1369	107	3	4351055	4352422	4262022	4260660	0.0	1948
results	results	91.673	1369	107	3	4260660	4262022	4352422	4351055	0.0	1948
results	results	93.106	1233	84	1	4672922	4674153	3237128	3235896	0.0	1838
results	results	93.106	1233	84	1	3235896	3237128	4674153	4672922	0.0	1838
results	results	74.435	2789	655	30	3713154	3715916	3710160	3712916	0.0	1733
results	results	74.435	2789	655	30	3710160	3712916	3713154	3715916	0.0	1733
results	results	90.736	1209	111	1	3818950	3820157	2778754	2777546	0.0	1673
results	results	90.736	1209	111	1	2777546	2778754	3820157	3818950	0.0	1673
results	results	87.470	1261	113	7	4253456	4254686	1281574	1280329	0.0	1572
results	results	87.470	1261	113	7	1280329	1281574	4254686	4253456	0.0	1572
results	results	77.121	2063	398	34	1129976	1132001	322677	324702	0.0	1507
results	results	77.121	2063	398	34	322677	324702	1129976	1132001	0.0	1507
results	results	79.275	1655	338	3	3769495	3771146	353833	355485	0.0	1430
results	results	79.275	1655	338	3	353833	355485	3769495	3771146	0.0	1430
results	results	69.661	3418	964	32	3712554	3715936	3710760	3714139	0.0	1411
results	results	69.661	3418	964	32	3710760	3714139	3712554	3715936	0.0	1411
results	results	97.704	784	16	2	1870849	1871631	1280318	1281100	0.0	1326
results	results	97.704	784	16	2	1280318	1281100	1870849	1871631	0.0	1326
results	results	68.680	3576	1062	30	3712397	3715946	3710006	3713549	0.0	1317
results	results	68.680	3576	1062	30	3710006	3713549	3712397	3715946	0.0	1317
results	results	73.099	2249	580	14	2591849	2594086	1137852	1140086	0.0	1288
results	results	73.099	2249	580	14	1137852	1140086	2591849	2594086	0.0	1288
results	results	91.264	870	75	1	1418237	1419105	1183444	1184313	0.0	1223
results	results	91.264	870	75	1	1183444	1184313	1418237	1419105	0.0	1223
results	results	83.607	1098	168	4	1413522	1414608	1393901	1394997	0.0	1162
results	results	83.607	1098	168	4	1393901	1394997	1413522	1414608	0.0	1162
results	results	96.047	683	27	0	4668210	4668892	1185843	1185161	0.0	1111
results	results	96.047	683	27	0	1185161	1185843	4668892	4668210	0.0	1111
results	results	71.049	2259	634	8	320967	323209	318421	320675	0.0	1108
results	results	71.049	2259	634	8	318421	320675	320967	323209	0.0	1108
results	results	72.723	1965	516	10	3287364	3289318	2423827	2421873	0.0	1101
results	results	72.774	1965	515	11	2421873	2423827	3289318	3287364	0.0	1101
results	results	67.120	3674	1066	58	1494945	1498560	286314	282725	0.0	1047
results	results	67.120	3674	1066	58	282725	286314	1498560	1494945	0.0	1047
results	results	83.350	997	158	5	1424593	1425582	1413094	1414089	0.0	1035
results	results	83.350	997	158	5	1413094	1414089	1424593	1425582	0.0	1035
results	results	67.999	3128	932	36	3297508	3300596	1708580	1711677	0.0	1029
results	results	67.999	3128	932	36	1708580	1711677	3297508	3300596	0.0	1029
results	results	70.043	2300	620	29	1128239	1130502	318409	320675	0.0	974
results	results	70.043	2300	620	29	318409	320675	1128239	1130502	0.0	974
results	results	70.627	1995	566	8	3407003	3408987	3021379	3019395	0.0	939
results	results	70.627	1995	566	8	3019395	3021379	3408987	3407003	0.0	939
results	results	86.658	772	73	4	4253944	4254686	1871629	1870859	0.0	938
results	results	86.658	772	73	4	1870859	1871629	4254686	4253944	0.0	938
results	results	71.273	1838	508	11	4580126	4581953	2458236	2460063	0.0	903
results	results	71.273	1838	508	11	2458236	2460063	4580126	4581953	0.0	903
results	results	89.396	613	35	3	729423	730035	728453	729035	0.0	827
results	results	89.396	613	35	3	728453	729035	729423	730035	0.0	827
results	results	82.979	799	135	1	3484367	3485164	1623760	1622962	0.0	825
results	results	82.979	799	135	1	1622962	1623760	3485164	3484367	0.0	825
results	results	73.564	1358	339	11	2989400	2990747	1460004	1458657	0.0	800
results	results	73.564	1358	339	11	1458657	1460004	2990747	2989400	0.0	800
results	results	68.145	2232	669	25	3713755	3715968	3710161	3712368	0.0	746
results	results	68.145	2232	669	25	3710161	3712368	3713755	3715968	0.0	746
results	results	74.395	1199	272	15	4805368	4806561	4410206	4409038	0.0	743
